device_id,device_type,final_x,final_y
device_000,pedestrian,33.15119013401632,278.74810460797056
device_001,pedestrian,355.2363768856772,81.50112881234826
device_002,fixed,252.6776440516812,13.267984841931813
device_003,fixed,324.9422188897616,272.4707403016083
device_004,fixed,294.63284193795437,404.71522833891333
device_005,fixed,402.90962591640397,349.0696974941134
device_006,fixed,77.73974990589078,478.6065361033906
device_007,fixed,46.37292169007395,48.358188416732006
device_008,vehicle,500,0
device_009,drone,484.7916125878814,478.1910188945481
device_010,vehicle,405.22217424550973,450.6123251912655
device_011,fixed,39.895988461813744,116.39544318051509
device_012,fixed,138.98680155504607,317.8422221322001
device_013,fixed,185.09048355844132,104.75351538574384
device_014,fixed,468.32729385624697,324.0176926232968
device_015,pedestrian,185.91186774332374,312.0677775996683
device_016,drone,197.09240031414254,265.25721939873733
device_017,vehicle,206.20992937622137,414.49471613663536
device_018,fixed,471.4548571675272,438.1838132363344
device_019,fixed,327.71933264744,197.81595053033212
device_020,drone,0,500
device_021,fixed,292.29299511177027,448.9114418012385
device_022,fixed,109.66037957864167,498.7688032475551
device_023,pedestrian,150.8657191744754,0
device_024,vehicle,0,0
device_025,pedestrian,341.37034114598816,489.9216854207201
device_026,pedestrian,492.04299851589394,126.89393162947732
device_027,pedestrian,119.39777975637362,379.33673341249937
device_028,pedestrian,79.49602668689482,182.96366573546976
device_029,pedestrian,192.86865899991707,455.2034226245186
device_030,vehicle,500,308.68954568974067
device_031,drone,500,491.73228363176503
device_032,vehicle,500,500
device_033,vehicle,498.863483796395,500
device_034,fixed,436.2165205426287,211.56897010044347
device_035,fixed,269.6480443897292,364.9655345449881
device_036,fixed,155.85814565044748,497.57467833044734
device_037,pedestrian,443.3731159708411,305.0733018265827
device_038,fixed,294.15435922861667,115.0573662982885
device_039,fixed,35.49654300451627,315.5514786350495
device_040,fixed,452.710006503064,429.81770012687326
device_041,fixed,119.00231718449761,334.4888891481403
device_042,fixed,66.1559243625125,467.7571202903355
device_043,pedestrian,41.83561585217698,500
device_044,fixed,215.52559120318875,211.78931150996038
device_045,pedestrian,56.67539613654244,353.8148534290739
device_046,pedestrian,208.2488402724937,467.6999524843516
device_047,pedestrian,456.08721270573557,414.8100398740584
device_048,pedestrian,500,378.0923881666091
device_049,vehicle,383.3687657140631,70.69210113215608
device_050,pedestrian,119.49663613947031,262.1167170688404
device_051,drone,148.376974599532,15.690144988273575
device_052,drone,345.8522434050306,413.74207854359867
device_053,fixed,484.3546824845794,289.5901454081281
device_054,pedestrian,316.0125697114742,500
device_055,vehicle,0,114.87187728697396
device_056,pedestrian,474.06321120274384,18.656110749820787
device_057,fixed,297.2595767667206,309.69075516605153
device_058,pedestrian,191.1821241544657,412.10301713089814
device_059,vehicle,53.89069004365369,0
device_060,fixed,375.93224620720105,36.27155724657866
device_061,pedestrian,427.56295354867103,245.59109922312172
device_062,fixed,466.62968899685455,440.4320868432198
device_063,vehicle,0,0
device_064,pedestrian,429.8594063192061,398.9649838468369
device_065,fixed,331.6943574830387,469.46500196355197
device_066,fixed,57.7143352095511,53.51798885470882
device_067,pedestrian,222.0759847032265,107.17678192047745
device_068,pedestrian,367.2407341860024,74.1310952214067
device_069,fixed,211.78788628186317,138.34011198612583
device_070,fixed,385.5596115098135,318.5566886506898
device_071,fixed,370.6154541739654,275.8402105631956
device_072,pedestrian,52.16179353613491,294.1199089111925
device_073,pedestrian,409.3856693566822,169.05716485533597
device_074,fixed,449.49074437129497,398.0611524440209
device_075,vehicle,0,500
device_076,vehicle,392.0503703207301,42.075046217621136
device_077,drone,0,0
device_078,fixed,368.28223587754104,166.09273397321434
device_079,drone,8.073407357941747,309.30370404114234
device_080,vehicle,500,500
device_081,vehicle,368.1177569347881,471.74136653479076
device_082,fixed,96.56489416385433,164.13097559885327
device_083,vehicle,19.511547118123374,0
device_084,drone,500,0
device_085,fixed,481.26715788077775,132.7331812614843
device_086,fixed,217.28187928232217,364.2725303263521
device_087,fixed,303.10442665307164,255.71152983473905
device_088,fixed,288.29402174829977,127.36125306929097
device_089,vehicle,400.2950483425402,0
device_090,vehicle,500,0
device_091,fixed,156.95782252917982,424.0076397531677
device_092,vehicle,482.2373478119965,500
device_093,fixed,63.64389952957661,210.22316688645415
device_094,drone,500,0
device_095,pedestrian,34.285733269895445,177.85669705849324
device_096,pedestrian,381.345345521474,327.98679284516027
device_097,drone,114.96158470923619,264.48955102982586
device_098,pedestrian,500,500
device_099,fixed,99.56496636328832,12.212693863413172
device_100,fixed,237.56817210940255,424.868847312366
device_101,fixed,207.22050549885967,314.88269036885686
device_102,fixed,348.17712524525245,247.18858450521847
device_103,fixed,328.029005555892,2.77240906901588
device_104,vehicle,351.53018180455035,315.46037945525507
device_105,drone,394.4708640915949,500
device_106,pedestrian,176.44787182804873,416.91103631714003
device_107,drone,0,178.7538031566393
device_108,vehicle,150.37416505255572,249.73904285359671
device_109,fixed,123.61986875482978,318.83071838807814
device_110,vehicle,71.72736792801516,454.92664250976014
device_111,fixed,135.8575535410923,159.85478420938114
device_112,pedestrian,259.32823576574486,176.63958276593755
device_113,fixed,203.79968483329336,271.30557025195765
device_114,pedestrian,455.90465101189636,425.7661708474791
device_115,pedestrian,258.00733428162187,197.54927152358098
device_116,fixed,376.7375625296929,426.7239752845523
device_117,drone,256.5017234106933,0
device_118,fixed,109.71081731071808,217.9179880233183
device_119,fixed,168.06477184919123,339.5709425141749
device_120,pedestrian,266.50493670887664,206.2045959202993
device_121,fixed,197.01012816985235,282.1959915123871
device_122,fixed,321.37482400466786,67.84974361528212
device_123,pedestrian,71.65280818774414,219.7780323544614
device_124,vehicle,500,0
